count;year;name
27;2012;Fatima
14;2012;Ferdinand
15;2012;Fleur
23;2012;Florian
11;2012;Gaïa
22;2012;Grégoire
9;2012;Hafsa
10;2012;Hajar
5;2012;Hermine
7;2012;Ilhan
8;2012;Ilyès
17;2012;Ismaïl
13;2012;Jessica
6;2012;Killian
33;2012;Kylian
7;2012;Lahna
11;2012;Laurent
12;2012;Leonardo
41;2012;Lily
35;2012;Lise
6;2012;Livio
13;2012;Lyam
6;2012;Maé
9;2012;Maelys
11;2012;Mahé
6;2012;Malek
8;2012;Malone
11;2012;Marine
8;2012;Matisse
11;2012;Mattéo
5;2012;May
6;2012;Mody
6;2012;Nabil
7;2012;Naïa
11;2012;Neïla
8;2012;Oren
5;2012;Rym
7;2012;Sabrina
7;2012;Siloé
5;2012;Toscane
13;2012;Vladimir
7;2012;Wael
8;2012;Xavier
57;2012;Youssef
22;2012;Zacharie
90;2013;Adrien
5;2013;Ahmad
11;2013;Aïda
7;2013;Aïdan
22;2013;Alya
8;2013;Anass
19;2013;André
8;2013;Ange
9;2013;Anthony
6;2013;Bruno
5;2013;Celia
6;2013;Chahinez
7;2013;Charlène
6;2013;Cheikh
27;2013;Chiara
12;2013;Christian
5;2013;Cindy
134;2013;Clément
10;2013;Cléophée
11;2013;Coumba
8;2013;Curtis
9;2013;Dounia
7;2013;Éléna
31;2013;Elie
9;2013;Emir
17;2013;Emna
5;2013;Éric
8;2013;Giovanni
9;2013;Guilhem
7;2013;Hind
7;2013;Iliana
17;2013;Imrane
11;2013;Jacob
20;2013;Jonas
11;2013;Josh
6;2013;Josué
139;2013;Juliette
21;2013;Justine
5;2013;Kadiatou
5;2013;Kim
131;2013;Léa
24;2013;Livia
72;2013;Lola
166;2013;Lucas
43;2013;Maëlys
5;2013;Mamou
6;2013;Manelle
8;2013;Marlon
38;2013;Mathieu
37;2013;Matthieu
189;2013;Maxime
8;2013;Mayar
8;2013;Meïssa
10;2013;Méline
29;2013;Milan
13;2013;Nahel
14;2013;Naomie
15;2013;Neil
25;2013;Nora
8;2013;Othmane
9;2013;Paolo
13;2013;Rania
5;2013;Reda
21;2013;Sasha
6;2013;Sekou
7;2013;Selena
13;2013;Sonia
5;2013;Thanina
5;2013;Tobias
7;2013;Wesley
10;2013;Yohan
30;2013;Zakaria
8;2013;Zakariya
43;2014;Achille
6;2014;Adriana
5;2014;Adriel
7;2014;Alassane
6;2014;Alessia
16;2014;Amélia
